Iteration	Posterior	Likelihood	Prior	rate_log_sd	tree_length
0	-4493.535	-4728.142	234.6072	0.1056536	0.4748757
6	-4120.292	-4354.846	234.5535	0.1337092	0.6253689
12	-2852.678	-3085.481	232.8028	1.10558	1.427399
18	-5643.826	-5876.41	232.5833	0.7130167	0.04915767
24	-4867.242	-5101.748	234.506	0.06152765	0.2757378
30	-2550.526	-2782.386	231.8593	1.619879	1.741423
36	-2541.904	-2772.734	230.8301	3.647677	0.9267083
42	-4185.426	-4420.04	234.6144	0.0988887	0.5212612
48	-2890.699	-3123.504	232.8054	1.876777	0.6373382
54	-3331.999	-3561.943	229.9444	0.2907283	3.746536
60	-4482.54	-4716.613	234.0731	0.6155692	0.395341
66	-3456.979	-3689.519	232.5401	0.6155692	1.963099
72	-2903.082	-3134.566	231.4839	1.671703	1.963099
78	-2866.983	-3099.054	232.0704	2.062067	1.2483
84	-3979.628	-4213.325	233.6972	0.4352701	1.2483
90	-4215.128	-4449.27	234.1414	0.2236184	1.04145
96	-3996.204	-4229.819	233.615	0.4722276	1.285676
102	-4168.834	-4402.896	234.062	0.02522389	1.285676
108	-3777.106	-4010.695	233.5896	0.6125988	1.189198
114	-4473.246	-4707.567	234.3207	0.3933639	0.5073475
120	-2800.453	-3032.047	231.5935	3.090667	0.6325698
126	-4197.517	-4431.445	233.9276	0.7833421	0.5414379
132	-3027.844	-3259.784	231.94	1.183041	1.9849
138	-4101.451	-4335.263	233.8124	0.1428133	1.391096
144	-3015.318	-3247.455	232.1373	1.356589	1.731117
150	-2825.962	-3058.165	232.2029	1.146441	1.831612
156	-3351.552	-3585.087	233.5346	1.124242	0.6851882
162	-3886.244	-4120.266	234.022	0.2975813	1.084359
168	-3209.168	-3442.286	233.1182	0.9225371	1.32339
174	-3273.081	-3506.153	233.0718	0.5746691	1.622375
180	-4470.651	-4704.63	233.9792	0.5746691	0.2675949
186	-3918.724	-4152.863	234.139	0.5746691	0.5161918
192	-4882.56	-5116.649	234.0884	0.3914033	0.230935
198	-3566.849	-3799.706	232.8568	0.1221512	2.080486
204	-2766.87	-2998.772	231.9022	2.727311	0.7348501
210	-3932.742	-4166.966	234.2245	0.3203648	0.8499234
216	-3957.972	-4191.855	233.8824	0.8242285	0.4411893
222	-2977.037	-3208.085	231.0479	0.8242285	2.778565
228	-3195.868	-3429.105	233.2376	1.275072	0.8878235
234	-3942.081	-4176.113	234.0322	0.4804913	0.8878235
240	-2687.661	-2918.991	231.3294	3.308839	0.7209719
246	-3998.986	-4233.111	234.1251	0.143968	1.1304
252	-2676.855	-2907.915	231.0599	3.583743	0.711986
258	-4040.841	-4274.978	234.1369	0.4973845	0.7273608
264	-2676.893	-2908.25	231.3575	1.793953	1.965936
270	-2909.104	-3141.565	232.4609	2.244647	0.5687489
276	-4366.594	-4601.195	234.6007	0.04887038	0.7019432
282	-3932.417	-4166.366	233.9492	0.09965186	1.316832
288	-3488.096	-3721.304	233.2073	1.49295	0.4212204
294	-3961.488	-4194.665	233.1769	0.1226612	1.865722
300	-2740.097	-2971.675	231.578	3.134064	0.5334952
306	-4399.576	-4633.817	234.2409	0.47316	0.4938161
312	-3002.116	-3234.857	232.7415	1.465528	1.184996
318	-4077.378	-4311.467	234.0899	0.3743011	0.9412985
324	-2964.067	-3196.124	232.0574	1.213431	1.885292
330	-4444.636	-4678.223	233.5869	0.8097911	0.1995997
336	-2743.611	-2972.925	229.3138	5.164218	0.9264468
342	-2759.037	-2988.315	229.2778	2.131283	3.057978
348	-3894.085	-4127.815	233.7299	0.9789953	0.5532416
354	-4652.777	-4887.322	234.545	0.1639129	0.5532416
360	-3827.103	-4060.663	233.5602	0.3423377	1.431871
366	-4008.298	-4242.093	233.7952	0.2223629	1.341948
372	-3120.035	-3352.294	232.2581	0.8595749	1.988526
378	-3190.437	-3423.468	233.0316	0.8595749	1.440603
384	-2923.029	-3155.767	232.7375	1.923115	0.6819983
390	-3731.729	-3965.02	233.2911	1.389872	0.3819944
396	-3129.84	-3363.023	233.1823	1.453819	0.7243839
402	-3451.332	-3684.787	233.4547	0.6937804	1.234884
408	-3774.967	-4008.515	233.5483	0.3673365	1.42179
414	-2640.367	-2871.137	230.7701	3.494911	1.134036
420	-3036.661	-3269.341	232.6795	1.390712	1.299567
426	-3614.284	-3847.969	233.6849	0.2326502	1.420333
432	-3940.537	-4175.054	234.517	0.002785794	0.879644
438	-3798.408	-4032.497	234.089	0.03448454	1.255817
444	-4281.052	-4515.648	234.596	0.1181007	0.4952051
450	-3406.386	-3639.647	233.261	0.5835179	1.476117
456	-3217.054	-3448.035	230.9817	0.2354782	3.172278
462	-4071.323	-4305.62	234.2971	0.3190424	0.7552653
468	-2575.886	-2806.905	231.0193	2.558271	1.671845
474	-2678.937	-2910.51	231.5735	3.120576	0.4062932
480	-3330.968	-3563.599	232.6312	1.930825	0.2723945
486	-2633.558	-2865.658	232.0998	2.563312	0.677171
492	-3317.588	-3550.823	233.2353	0.7037632	1.403699
498	-3778.496	-4012.096	233.6003	0.3387131	1.403699
504	-4002.279	-4236.588	234.3096	0.2698821	0.8062159
510	-3139.595	-3372.201	232.6064	0.8390091	1.76504
516	-2642.309	-2872.224	229.9146	4.716943	0.3232712
522	-2719.68	-2951.491	231.8104	2.023395	1.484227
528	-3392.285	-3625.443	233.1585	0.6547702	1.499634
534	-3779.389	-4013.345	233.956	0.4071132	1.043278
540	-2889.64	-3122.674	233.0339	1.512238	0.8483519
546	-4365.633	-4599.607	233.9743	0.6243699	0.2965109
552	-4104.199	-4338.353	234.1544	0.5557578	0.4567232
558	-3148.212	-3381.176	232.9639	1.061485	1.335709
564	-3448.189	-3681.681	233.4922	1.006911	0.9032505
570	-3238.633	-3471.993	233.3598	1.324001	0.6335785
576	-4384.06	-4618.529	234.4699	0.244182	0.5057265
582	-2604.457	-2834.892	230.4353	3.531644	1.381929
588	-2983.894	-3215.712	231.8179	0.9822976	2.197131
594	-3248.216	-3481.517	233.3009	1.210582	0.8891631
600	-3205.287	-3438.388	233.1017	1.210582	1.091098
606	-3376.32	-3608.592	232.2721	0.9184809	1.939646
612	-3189.699	-3422.521	232.8218	1.858351	0.3807004
618	-3933.242	-4167.292	234.0498	0.3292502	1.027897
624	-2690.794	-2921.538	230.7436	3.721925	0.939898
630	-4393.096	-4627.483	234.3873	0.1219463	0.8917184
636	-3745.367	-3979.136	233.7695	0.5849394	1.051573
642	-4426.734	-4660.26	233.5255	0.907498	0.2123167
648	-2606.012	-2837.92	231.9087	2.784562	0.6092226
654	-3157.526	-3389.19	231.6634	0.826936	2.395213
660	-6003.483	-6236.394	232.9111	0.4035798	0.05017046
666	-3494.001	-3725.64	231.6389	0.02899375	2.902525
672	-3545.908	-3779.36	233.4521	0.8679464	1.083909
678	-4027.96	-4262.124	234.1641	0.1559822	1.083909
684	-3078.766	-3311.601	232.8349	1.485144	1.083909
690	-4507.921	-4742.066	234.1454	0.4258508	0.2780568
696	-3718.353	-3952.262	233.9093	0.7207445	0.7340114
702	-3350.35	-3583.091	232.7414	0.5376679	1.879645
708	-4828.488	-5063.013	234.525	0.1139064	0.3302435
714	-3201.695	-3433.911	232.2167	0.8072406	2.050827
720	-3889.828	-4123.734	233.9069	0.8072406	0.5021739
726	-2949.607	-3181.525	231.9178	0.8072406	2.245613
